index,Question,Segment Type,Segment Description,Answer,Count,Percentage
0,What social platform has influenced your online shopping most?,Mobile,Global results,Facebook,548,0.205
1,What social platform has influenced your online shopping most?,Mobile,Global results,Instagram,916,0.342
2,What social platform has influenced your online shopping most?,Mobile,Global results,Snapchat,86,0.032
3,What social platform has influenced your online shopping most?,Mobile,Global results,Twitter,179,0.067
4,What social platform has influenced your online shopping most?,Mobile,Global results,None,947,0.354
5,What social platform has influenced your online shopping most?,Web,Web,Facebook,0,0.0
6,What social platform has influenced your online shopping most?,Web,Web,Instagram,0,0.0
7,What social platform has influenced your online shopping most?,Web,Web,Snapchat,0,0.0
8,What social platform has influenced your online shopping most?,Web,Web,Twitter,0,0.0
9,What social platform has influenced your online shopping most?,Web,Web,None,2,1.0
10,What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,0.199
11,What social platform has influenced your online shopping most?,Gender,Female voters,Instagram,535,0.48
12,What social platform has influenced your online shopping most?,Gender,Female voters,Snapchat,29,0.026
13,What social platform has influenced your online shopping most?,Gender,Female voters,Twitter,57,0.051
14,What social platform has influenced your online shopping most?,Gender,Female voters,None,271,0.243
15,What social platform has influenced your online shopping most?,Gender,Male voters,Facebook,326,0.209
16,What social platform has influenced your online shopping most?,Gender,Male voters,Instagram,380,0.243
17,What social platform has influenced your online shopping most?,Gender,Male voters,Snapchat,56,0.036
18,What social platform has influenced your online shopping most?,Gender,Male voters,Twitter,122,0.078
19,What social platform has influenced your online shopping most?,Gender,Male voters,None,678,0.434
20,What social platform has influenced your online shopping most?,University,University of Delaware,Facebook,1,0.333
21,What social platform has influenced your online shopping most?,University,University of Delaware,Instagram,1,0.333
22,What social platform has influenced your online shopping most?,University,University of Delaware,Snapchat,0,0.0
23,What social platform has influenced your online shopping most?,University,University of Delaware,Twitter,0,0.0
24,What social platform has influenced your online shopping most?,University,University of Delaware,None,1,0.333
25,What social platform has influenced your online shopping most?,University,University of Pennsylvania,Facebook,1,0.25
26,What social platform has influenced your online shopping most?,University,University of Pennsylvania,Instagram,1,0.25
